image_source,image_label,cluster,pc1,pc2,pc3,combined_vector
00922.18.vsi - 20x_003,Lymphocytes,1,-4.660023411709972,3.3431172639884896,-4.660023411709972,"[-1.4437948  -1.17601523 -0.90465837 -0.96343275 -0.59325415 -1.53455495
 -1.25694338  1.03288833  0.03761935 -0.98259044  0.78925211  1.17926409
  1.26746072  1.60196475  2.00903303  1.63448253  1.69326259  1.29987888
 -0.74787003 -0.78577173 -1.20016126 -0.95581485 -0.8918987   0.5166172
 -1.13627134  1.25404799 -0.23737748  1.18455908  2.10158755 -1.75281455
 -1.07000744 -1.22763888 -0.11806312 -1.81656291]"
00922.18.vsi - 20x_003 (2),Lymphocytes,1,-5.376421588925475,4.3176798251355395,-5.376421588925475,"[-1.47882328 -1.27494858 -1.02869286 -0.35958523 -1.68881059 -1.54209592
 -1.39727526  0.98593089  1.03182771 -1.2873445   1.49567079  1.4268676
  1.36003103  2.8761083   3.9129704   1.65745501  1.61312938  0.89291177
 -0.73293467 -0.89453965 -1.19478618 -1.29294525 -0.39567805 -0.6012714
 -1.17116331  1.76613111 -0.16624986  0.46300125 -1.33256232 -0.84440149
 -0.12055005 -0.8551681  -0.80200322 -0.95847019]"
00981.15.vsi - 20x_001,Lymphocytes,1,-0.014515115909664575,-3.229826495999841,-0.014515115909664575,"[ 0.43025704 -0.46576274  1.3899797   0.84810982 -0.78106382  0.17964297
 -0.5731583   0.33292856 -0.49634336 -0.33870806  0.72309012 -1.23155983
 -0.65829373 -0.85280098 -0.88113338 -0.82357376 -0.79254456 -0.84323625
  0.36356124  0.80827075 -0.28773417 -0.81155124 -0.1360117  -0.62322221
  0.23367457 -0.16284143  1.72902211  0.10882376  0.2927045   0.2796852
  0.00465292  0.25736819  0.47191887  0.95147885]"
00981.15.vsi - 20x_001 (2),Lymphocytes,1,0.15309249300323305,-2.22687754344087,0.15309249300323305,"[ 0.04014393 -0.6587211   0.95585899  0.84810982 -1.45404849  0.29961854
 -0.49912044 -0.35731299  0.12906618  0.77214053 -1.48490708 -1.07155493
 -0.72337654 -0.62805306 -0.84152652 -0.5402464  -0.65950686 -0.7677568
  0.21557562  0.15936676 -0.472009   -0.92957066 -0.42938428 -0.64000302
 -0.21005681  0.89260882  1.39556452 -0.42907509  0.25409128 -0.84996903
  0.00328761 -0.42437089  0.69650873  1.75613063]"
00981.15.vsi - 20x_002,Lymphocytes,1,-1.3431237288694988,-2.2917213971322523,-1.3431237288694988,"[ 0.2781634  -0.59636932  1.35897108 -0.35958523 -0.10807915 -0.1355416
 -0.89773638  0.7304574  -0.63033275 -1.28042027  1.34538935 -1.04087928
 -0.85101287 -0.62852168 -0.79078345 -0.21097406 -0.37416682 -0.36069994
  0.00176614 -0.28429498 -0.44386033 -0.61165103 -1.29775105  0.75121655
 -0.08983191 -0.01532781 -0.37338712  0.56341309  0.49945859 -0.83867645
 -0.05663264  0.8450902   0.36462073 -0.34122005]"
00981.15.vsi - 20x_003,Lymphocytes,1,-0.5795401421306754,-2.6373872641318457,-0.5795401421306754,"[ 0.77359466 -0.5834043   2.19620389 -0.96343275 -1.36796906  0.33686112
 -0.8302005   0.56029473  0.72730581 -1.36161424  1.97710157 -1.04900334
 -0.69546494 -0.4282027  -0.63410309 -0.9460937  -1.04583552 -0.93362709
  0.51786344  0.2122843  -0.3874558  -0.98656578 -0.60908551 -0.32860191
  0.20415645  1.07910829  0.45925031  0.31694315 -0.61966412 -0.27924522
 -0.26933185  1.35741859 -0.38060331  0.9909062 ]"
00981.15.vsi - 20x_004,Lymphocytes,0,0.9400366703663048,-4.20723107228017,0.9400366703663048,"[ 0.68584504 -0.43213459  1.57603144  4.47119497 -0.89844487  0.67213851
 -0.38096693 -0.16766895 -0.7969849   0.06763652  0.03877285 -1.13323631
 -0.69648927 -0.85833873 -0.9089558  -1.32896851 -1.49307376 -1.5977061
  0.90222637  0.63206455 -0.04682525 -0.70776607 -0.17245751 -0.53515151
 -0.20830294 -0.53786526  2.29170163 -0.4922588   0.99155336 -0.20678808
  0.19800356 -0.13381956  1.2790604   0.70350232]"
01_201940304.vsi - 20x_001,Lymphocytes,1,-3.130993641531395,4.069465479597807,-3.130993641531395,"[-0.42532416 -0.847889    0.45972102  0.2442623  -1.03147672 -0.54773061
 -1.0496444   0.54360109  0.98899111 -0.42597682  0.31286714  2.40121134
  2.40408789  3.15947691  2.21751752  0.61603553  0.5061917   0.04361561
 -0.35511256 -0.62678379 -0.73249887 -1.11173435 -0.82079357  0.75418146
 -0.46159637  1.83393825 -0.41140011 -0.01168984  0.3256145  -0.84643543
  0.27017919 -0.66865141  1.2438391  -0.16640649]"
01_201940304.vsi - 20x_002,Lymphocytes,1,-0.21741860792812895,1.2796486335828086,-0.21741860792812895,"[ 0.01451729 -0.01129548  0.39770378 -0.96343275  0.16580996  0.24494106
  0.2632633  -0.42294453 -0.02527781  0.1206009  -0.90306972  0.92155652
  0.24602918  0.28793621 -0.22460941  0.4705431   0.75546304  1.37585433
 -0.34583672 -0.25479375  0.09264395 -0.00875848 -0.52115082  0.41647923
 -0.79721685  1.48082511  1.47037211  0.45030766  1.13007012 -1.77645476
 -0.26203728 -0.64397382  2.12293949  1.34599861]"
01_201941540.vsi - 20x_001,Lymphocytes,1,-3.3317789807056117,-0.07132890457065462,-3.3317789807056117,"[-1.21686317 -0.91834397 -1.02869286 -0.96343275  0.2753656  -1.26645731
 -1.04973822  0.76014084 -0.57350743 -0.95371441  1.34070599 -0.24070393
 -0.06555128 -0.02220863 -0.29184401  0.63900802  0.71297932  0.61031968
 -0.36899337 -0.48761836 -0.98811628 -0.75358398 -0.40673773 -1.61837614
 -0.13204137 -0.53555485 -0.57857958 -1.27564972 -0.38783846  0.24629345
  0.41821347 -0.95282379  1.48350485  0.0885973 ]"
